2to3 3.11.2-1
libfakeroot 1.31-1.2
libfastjson4 1.2304.0-1
libfdisk1 2.38.1-5+b1
libfdt1 1.6.1-4+b1
libffi8 3.4.4-1
libfftw3-single3 3.3.10-1
libfido2-1 1.12.0-2+b1
libfile-basedir-perl 0.09-2
libfile-desktopentry-perl 0.22-3
libfile-fcntllock-perl 0.22-4+b1
libfile-listing-perl 6.15-1
libfile-mimeinfo-perl 0.33-1
libfl2 2.6.4-8.2
libflac12 1.4.2+ds-2
libfmt9 9.1.0+ds1-2
libfont-afm-perl 1.20-4
libfontconfig1 2.14.1-4
libfontenc1 1:1.1.4-1
libfreeipmi17 1.6.10-1+b1
libfreerdp-client2-2 2.10.0+dfsg1-1
libfreerdp2-2 2.10.0+dfsg1-1
libfreetype6 2.12.1+dfsg-5
libfribidi0 1.0.8-2.1
libfsplib0 0.14-5
libfstrm0 0.6.1-1
libfuse2 2.9.9-6+b1
libfuse3-3 3.14.0-4
libgail-common 2.24.33-2
libgail18 2.24.33-2
libgarcon-1-0 4.18.0-1
libgarcon-common 4.18.0-1
libgarcon-gtk3-1-0 4.18.0-1
libgav1-1 0.18.0-1+b1
libgbm1 22.3.6-1+deb12u1
libgcc-12-dev 12.2.0-14
libgcc-s1 12.2.0-14
libgck-1-0 3.41.1-1+b1
libgcr-base-3-1 3.41.1-1+b1
libgcr-ui-3-1 3.41.1-1+b1
libgcrypt20 1.10.1-3
libgd3 2.3.3-9
libgdbm-compat4 1.23-3
libgdbm6 1.23-3
libgdk-pixbuf-2.0-0 2.42.10+dfsg-1+b1
libgdk-pixbuf2.0-bin 2.42.10+dfsg-1+b1
libgdk-pixbuf2.0-common 2.42.10+dfsg-1
libgfapi0 10.3-5
libgfrpc0 10.3-5
libgfxdr0 10.3-5
libgirepository-1.0-1 1.74.0-3
libgl1 1.6.0-1
libgl1-mesa-dri 22.3.6-1+deb12u1
libglapi-mesa 22.3.6-1+deb12u1
libglib2.0-0 2.74.6-2
libglib2.0-data 2.74.6-2
libglibmm-2.4-1v5 2.66.5-2
libglu1-mesa 9.0.2-1.1
libglusterfs0 10.3-5
libglvnd0 1.6.0-1
libglx-mesa0 22.3.6-1+deb12u1
libglx0 1.6.0-1
libgmp10 2:6.2.1+dfsg1-1.1
libgnutls-dane0 3.7.9-2+deb12u1
libgnutls30 3.7.9-2+deb12u1
libgomp1 12.2.0-14
libgpg-error0 1.46-1
libgpgme11 1.18.0-3+b1
libgphoto2-6 2.5.30-1
libgphoto2-l10n 2.5.30-1
libgphoto2-port12 2.5.30-1
libgpm2 1.20.7-10+b1
libgprofng0 2.40-2
libgraphene-1.0-0 1.10.8-1
libgraphite2-3 1.3.14-1
libgsm1 1.0.22-1
libgssapi-krb5-2 1.20.1-2+deb12u1
libgstreamer-plugins-base1.0-0 1.22.0-3+deb12u1
libgstreamer1.0-0 1.22.0-2
libgtk-3-0 3.24.38-2~deb12u1
libgtk-3-bin 3.24.38-2~deb12u1
libgtk-3-common 3.24.38-2~deb12u1
libgtk-4-1 4.8.3+ds-2+deb12u1
libgtk-4-bin 4.8.3+ds-2+deb12u1
libgtk-4-common 4.8.3+ds-2+deb12u1
libgtk2.0-0 2.24.33-2
libgtk2.0-bin 2.24.33-2
libgtk2.0-common 2.24.33-2
libgtkhex-4-1 43.1-1
libgtkmm-3.0-1v5 3.24.7-1
libgtop-2.0-11 2.40.0-2
libgtop2-common 2.40.0-2
libgudev-1.0-0 237-2
libguestfs-hfsplus 1:1.48.6-2
libguestfs-perl 1:1.48.6-2
libguestfs-reiserfs 1:1.48.6-2
libguestfs-tools 1:1.48.6-2
libguestfs-xfs 1:1.48.6-2
libguestfs0 1:1.48.6-2
libgusb2 0.3.10-1
libharfbuzz0b 6.0.0+dfsg-3
libhd21 21.82-1
libheif1 1.15.1-1
libhfsp0 1.0.4-17
libhivex0 1.3.23-1+b1
libhogweed6 3.8.1-2
libhtml-form-perl 6.11-1
libhtml-format-perl 2.16-2
libhtml-parser-perl 3.81-1
libhtml-tagset-perl 3.20-6
libhtml-tree-perl 5.07-3
libhttp-cookies-perl 6.10-1
libhttp-daemon-perl 6.16-1
libhttp-date-perl 6.05-2
libhttp-message-perl 6.44-1
libhttp-negotiate-perl 6.01-2
libhwloc-plugins 2.9.0-1
libhwloc15 2.9.0-1
libhwy1 1.0.3-3+deb12u1
libhx32 4.10-1
libibverbs1 44.0-2
libice6 2:1.0.10-1
libicu72 72.1-3
libidn12 1.41-1
libidn2-0 2.3.3-1+b1
libiec61883-0 1.2.0-6+b1
libieee1284-3 0.2.11-14
libigdgmm12 22.3.3+ds1-1
libimobiledevice-utils 1.3.0-6+b3
libimobiledevice6 1.3.0-6+b3
libinih1 55-1
libinput-bin 1.22.1-1
libinput10 1.22.1-1
libintl-perl 1.33-1
libintl-xs-perl 1.33-1
libio-html-perl 1.004-3
libio-pty-perl 1:1.17-1
libio-socket-ssl-perl 2.081-2
libio-stringy-perl 2.111-3
libip4tc2 1.8.9-2
libipc-run-perl 20220807.0-1
libipc-system-simple-perl 1.30-2
libiperf0 3.12-1+deb12u1
libirecovery-1.0-3 1.0.0-5
libirecovery-common 1.0.0-5
libiscsi7 1.19.0-3
libisl23 0.25-1
libisoburn1 1.5.4-4
libisofs6 1.5.4-1
libitm1 12.2.0-14
libiw30 30~pre9-14
libjack-jackd2-0 1.9.21~dfsg-3
libjansson4 2.14-2
libjbig0 2.1-6.1
libjemalloc2 5.3.0-1
libjim0.81 0.81+dfsg0-2
libjpeg-turbo-progs 1:2.1.5-2
libjpeg62-turbo 1:2.1.5-2
libjq1 1.6-2.1
libjs-jquery 3.6.1+dfsg+~3.5.14-1
libjson-c5 0.16-2
libjson-glib-1.0-0 1.6.6-1
libjson-glib-1.0-common 1.6.6-1
libjte2 1.22-3
libjxl0.7 0.7.0-10
libk5crypto3 1.20.1-2+deb12u1
libkeybinder-3.0-0 0.3.2-1.1
libkeyutils1 1.6.3-2
libklibc 2.0.12-1
libkmod2 30+20221128-1
libkrb5-3 1.20.1-2+deb12u1
libkrb5support0 1.20.1-2+deb12u1
libksba8 1.6.3-2
liblcms2-2 2.14-2
libldap-2.5-0 2.5.13+dfsg-5
libldap-common 2.5.13+dfsg-5
libldb2 2:2.6.2+samba4.17.12+dfsg-0+deb12u1
libldm-1.0-0 0.2.5-1
libldns3 1.8.3-1+b1
liblerc4 4.0.0+ds-2
liblinear4 2.3.0+dfsg-5
libllvm15 1:15.0.6-4+b1
liblmdb0 0.9.24-1
liblocale-gettext-perl 1.07-5
liblockfile-bin 1.17-1+b1
liblockfile1 1.17-1+b1
liblognorm5 2.0.6-4
liblsan0 12.2.0-14
libltdl7 2.4.7-5
liblua5.1-0 5.1.5-9
liblua5.2-0 5.2.4-3
liblua5.3-0 5.3.6-2
liblvm2cmd2.03 2.03.16-2
liblwp-mediatypes-perl 6.04-2
liblwp-protocol-https-perl 6.10-1
liblz4-1 1.9.4-1
liblzma5 5.4.1-0.2
liblzo2-2 2.10-2
libmagic-mgc 1:5.44-3
libmagic1 1:5.44-3
libmailtools-perl 2.21-2
libmarkdown2 2.2.7-2
libmaxminddb0 1.7.1-1
libmbedcrypto7 2.28.3-1
libmbim-glib4 1.28.2-1
libmbim-proxy 1.28.2-1
libmbim-utils 1.28.2-1
libmd0 1.0.4-2
libmfx1 22.5.4-1
libmm-glib0 1.20.4-1
libmnl0 1.0.4-3
libmount1 2.38.1-5+b1
libmp3lame0 3.100-6
libmpc3 1.3.1-1
libmpfr6 4.2.0-1
libmpg123-0 1.31.2-1
libmsgpackc2 4.0.0-3
libmspack0 0.11-1
libmtdev1 1.1.6-1
libncurses5 6.4-4
libncurses6 6.4-4
libncursesw6 6.4-4
libndctl6 76.1-1
libndp0 1.8-1
libnet-dbus-perl 1.2.0-2
libnet-dns-perl 1.36-1
libnet-dns-sec-perl 1.20-1+b1
libnet-http-perl 6.22-1
libnet-libidn2-perl 1.01-2+b1
libnet-smtp-ssl-perl 1.04-2
libnet-ssleay-perl 1.92-2+b1
libnet-xmpp-perl 1.05-2
libnetfilter-conntrack3 1.0.9-3
libnetpbm11 2:11.01.00-2
libnettle8 3.8.1-2
libnewt0.52 0.52.23-1+b1
libnfnetlink0 1.0.2-2
libnfs-utils 4.0.0-1
libnfs13 4.0.0-1
libnfsidmap1 1:2.6.2-4
libnftables1 1.0.6-2+deb12u2
libnftnl11 1.2.4-2
libnghttp2-14 1.52.0-1+deb12u1
libnl-3-200 3.7.0-0.2+b1
libnl-cli-3-200 3.7.0-0.2+b1
libnl-genl-3-200 3.7.0-0.2+b1
libnl-idiag-3-200 3.7.0-0.2+b1
libnl-nf-3-200 3.7.0-0.2+b1
libnl-route-3-200 3.7.0-0.2+b1
libnl-utils 3.7.0-0.2+b1
libnm0 1.42.4-1
libnma-common 1.10.6-1
libnma0 1.10.6-1
libnotify-bin 0.8.1-1
libnotify4 0.8.1-1
libnpth0 1.6-3
libnsl-dev 1.3.0-2
libnsl2 1.3.0-2
libnspr4 2:4.35-1
libnss-mdns 0.15.1-3
libnss-systemd 252.19-1~deb12u1
libnss3 2:3.87.1-1
libnss3-tools 2:3.87.1-1
libntfs-3g89 1:2022.10.3-1+b1
libnuma1 2.0.16-1
libnvme1 1.3-1
libnvpair3linux 2.1.11-1
liboath0 2.6.7-3.1
libogg0 1.3.5-3
libonig5 6.9.8-1
libopenconnect5 9.01-3
libopengl0 1.6.0-1
libopenipmi0 2.0.33-1+b1
libopenjp2-7 2.5.0-2
libopus0 1.3.1-3
liborc-0.4-0 1:0.4.33-2
libp11-kit0 0.24.1-2
libpam-gnome-keyring 42.1-1+b2
libpam-modules 1.5.2-6+deb12u1
libpam-modules-bin 1.5.2-6+deb12u1
libpam-mount 2.19-1
libpam-mount-bin 2.19-1
libpam-runtime 1.5.2-6+deb12u1
libpam-systemd 252.19-1~deb12u1
libpam0g 1.5.2-6+deb12u1
libpango-1.0-0 1.50.12+ds-1
libpangocairo-1.0-0 1.50.12+ds-1
libpangoft2-1.0-0 1.50.12+ds-1
libpangomm-1.4-1v5 2.46.3-1
libpangoxft-1.0-0 1.50.12+ds-1
libparted-fs-resize0 3.5-3
libparted2 3.5-3
libpcap0.8 1.10.3-1
libpci3 1:3.9.0-4
libpciaccess0 0.17-2
libpcre2-8-0 10.42-1
libpcre3 2:8.39-15
libpcrecpp0v5 2:8.39-15
libpcsclite1 1.9.9-2
libperl4-corelibs-perl 0.004-3
libperl5.36 5.36.0-7+deb12u1
libpipeline1 1.5.7-1
libpixman-1-0 0.42.2-1
libpkcs11-helper1 1.29.0-1
libplist-utils 2.2.0-6+b2
libplist3 2.2.0-6+b2
libplymouth5 22.02.122-3
libpmem1 1.12.1-2
libpng16-16 1.6.39-2
libpolkit-agent-1-0 122-3
libpolkit-gobject-1-0 122-3
libpoppler-glib8 22.12.0-2+b1
libpoppler126 22.12.0-2+b1
libpopt0 1.19+dfsg-1
libproc2-0 2:4.0.2-3
libprotobuf-c1 1.4.1-1+b1
libproxy1v5 0.4.18-1.2
libpskc0 2.6.7-3.1
libpsl5 0.21.2-1
libpulse-mainloop-glib0 16.1+dfsg1-2+b1
libpulse0 16.1+dfsg1-2+b1
libpulsedsp 16.1+dfsg1-2+b1
libpython3-stdlib 3.11.2-1+b1
libpython3.11 3.11.2-6
libpython3.11-minimal 3.11.2-6
libpython3.11-stdlib 3.11.2-6
libqcow-utils 20201213-1+b2
libqcow1 20201213-1+b2
libqmi-glib5 1.32.2-1
libqmi-proxy 1.32.2-1
libqmi-utils 1.32.2-1
libqrencode4 4.1.1-1
libqrtr-glib0 1.2.2-1
libquadmath0 12.2.0-14
librados2 16.2.11+ds-2
librav1e0 0.5.1-6
libraw1394-11 2.1.2-2
librbd1 16.2.11+ds-2
librdmacm1 44.0-2
libreadline8 8.2-1.3
librecode0 3.6-25
libregexp-assemble-perl 0.38-2
libregexp-ipv6-perl 0.03-3
librpm9 4.18.0+dfsg-1+b1
librpmio9 4.18.0+dfsg-1+b1
librsvg2-2 2.54.7+dfsg-1~deb12u1
librsvg2-common 2.54.7+dfsg-1~deb12u1
librsync2 2.3.2-1+b1
librtmp1 2.4+20151223.gitfa8646d.1-2+b2
libruby 1:3.1
libruby3.1 3.1.2-7
libsamplerate0 0.2.2-3
libsane-common 1.2.1-2
libsane1 1.2.1-2
